Store Name	Address	Instagram	Pinterest	Website 1	Website 2	Etsy
Skingraft	7 Prince St NY 10012	https://instagram.com/skingraftdesigns/		http://www.skingraftdesigns.com/		
The Market NYC	159 Bleecker Street NY 10012	https://instagram.com/themarketnyc		http://www.themarketnyc.com/themarketnyc/THE_MARKET_NYC.html		
International Playground	13 Stanton St NY 10002	https://instagram.com/intlplayground/		http://www.themarketnyc.com/themarketnyc/THE_MARKET_NYC.html		
Yours Truly	1007 Broadway Brooklyn NY 11221	https://instagram.com/yourstrulybrand/		http://www.yourstrulybrand.com/		
Steven Alan Annex	229 Elizabeth St NY 10012	https://instagram.com/stevenalan/		http://www.stevenalan.com/		
Paul Smith	142 Greene St NY 10012	https://instagram.com/paulsmithdesign/		http://www.paulsmith.co.uk/us-en/shop/		
Rabbits	120 Havemeyer St Brooklyn NY 11211	https://instagram.com/rabbitsnyc/		http://www.rabbitsnyc.com/		
Assembly NY	170 Ludlow St NY 10002	https://instagram.com/assemblynewyork/?hl=en		http://www.assemblynewyork.com/		
Gudrun Sjoden	50 Greene St NY 10013	https://instagram.com/gudrunsjoden/		http://www.gudrunsjoden.com/us		
Epaulet Shop	144 Orchard St NY 10002	https://instagram.com/epaulet/		http://epauletnewyork.com/		
Joe Fresh	215 West 34th Street NY 10001	https://instagram.com/joefresh/		https://www.joefresh.com/us/		
Strumpet	518 Court St Brooklyn NY 11231	https://instagram.com/strumpetshop/		http://www.strumpet.com/		
Sucre	357 Bleecker Street NY 10014	https://instagram.com/sucrenyc/		http://www.sucrenyc.com/products		
Levi's Meatpacking	414 West 14th St NY 10014		https://www.pinterest.com/levisbrand/	http://www.levi.com/US/en_US/		
No Relation Vintage	204 1st Ave NY 10009	https://instagram.com/ltrainvintage		http://ltrainvintage.com/		
Kimera Design	366 Atlantic Ave Brooklyn NY 11217	https://instagram.com/kimeradesign		http://www.kimeradesign.com/index.asp		
Rivet	151 Smith St Brooklyn NY 11201			http://rivetbrooklyn.com/		
Ritual Vintage	377 Broome St NY 10013	https://instagram.com/ritualvintage/		http://www.ritualvintage.com/		
Kisan	125 Greene St NY 10012	https://instagram.com/kisanstore/		http://kisanstore.com/		
Kate Spade	454 Broome St NY 10013	https://instagram.com/katespadeny/		http://www.katespade.com/		
SRG Fashion	1971 41st St Astoria NY 11105	https://instagram.com/srgfashion/		http://srgfashioncorp.com/		
Gureje	886 Pacific St NY 11238			http://gureje.com/		
About Glamour + AG Gallery	107A N 3rd St Brooklyn NY 11249	https://instagram.com/aboutglamourinc/		http://aboutglamour.strikingly.com/		
Rapisarda	177 Court St Brooklyn NY 11201	https://instagram.com/myrapisarda/		http://rapisarda.com/		
Wink	1330 Third Ave NY 10075		https://www.pinterest.com/winkny/	http://www.winknyc.com/		
Coup de Coeur	136 E 28th St NY 10016	https://instagram.com/shopcoupdecoeur/		http://shopcoupdecoeur.com/		
The Reed Space	151 Orchard St NY 10002	https://instagram.com/reedspace/		http://thereedspace.com/		
Alter	407 graham Ave Brooklyn NY 11211	https://instagram.com/alterbrooklyn/		http://alterbrooklyn.com/		
EHVonnae	145 Front St Brooklyn NY 11201	https://instagram.com/ehvonnae/		http://ehvonnae.com/		
Century 21	22 Cortlandt St NY 10007	https://instagram.com/century21stores/		http://www.c21stores.com/		
Odin	328 E 11th St NY 10003	https://instagram.com/odinnewyork/		http://www.odinnewyork.com/		
Rag & Bone	104 Christopher St NY 10014	https://instagram.com/rag_bone/		http://www.rag-bone.com/		
AllSaints	411-417 West 13th Street Unit 1S NY 10014	https://instagram.com/allsaintslive/		http://www.us.allsaints.com/?WT.mc_id=YelpAllSaintsMeatpacking		
American Two Shot	135 Grand St Canal Street, NY 10013	https://instagram.com/americantwoshot/		http://americantwoshot.com/		
French Garment Cleaners	85 Lafayette Ave Brooklyn NY 11217	https://instagram.com/fgc_co/		https://frenchgarmentcleaners.com/		
lululemon athletica	1127 3rd Ave NY 10065	https://instagram.com/lululemon/?hl=en		https://instagram.com/dressingroomnyc/		
Volcom	446 Broadway Ave NY 10013	https://instagram.com/volcom/		http://www.volcom.com/		
Comptoir Des Cotonniers Flatiron	137 Fifth Ave Manhattan NY 10010	https://instagram.com/comptoirdescotonniers/		http://www.comptoirdescotonniers.com/eboutique/accueil		
Lee Lee's Forest	14 Fulton St NY 10038	https://instagram.com/leeleesforest/		http://www.leeleesforest.squarespace.com/		
Thistle & Clover	221 DeKalb Ave Brooklyn NY 11205	https://instagram.com/thistleclover/		http://thistleclover.com/		
Filson	40 Great Jones St NY 10003	https://instagram.com/filson1897/		http://www.filson.com/		
Hickoree's Floor Two	109 S 6th St Fl 2 Brooklyn NY 11211	https://instagram.com/hickorees/		http://www.hickorees.com/		
ENZ's	125 2nd Ave NY 10003	https://instagram.com/enzsnyc/		http://www.enzsnyc.com/		
By Robert James	74 Orchard St NY 10002	https://instagram.com/byrobertjames/		http://www.byrobertjames.com/		
Ame Ame	17 W 29th St 3B NY 10001	https://instagram.com/ameamenyc/		http://loveallseasons.com/		
Park Delicatessen	722 Classon Ave Brooklyn NY 11238	https://instagram.com/parkdelibk/		http://www.parkdelibk.com/		
Marimekko Flagship Store	200 5th Ave 23rd St Manhattan NY 10010	https://instagram.com/marimekkousa/		https://us.marimekko.com/#US		
Only Hearts	230 Mott St NY 10012	https://instagram.com/onlyhearts1978/?ref=badge		http://www.onlyhearts.com/		
Maje	417 Bleecker St NY 10014	https://instagram.com/majeofficiel		http://us.maje.com/		
Onassis Clothing	71 Greene St NY 10012	https://instagram.com/onassisclothing/		http://www.onassisclothing.com/		
Save Khaki	317 Lafayette St NY 10012	https://instagram.com/savekhaki/		http://savekhaki.com/		
Born to Tailor	380 Lexington Ave 17th Fl NY 10168	https://instagram.com/borntotailor/		http://www.borntotailor.com/		
Universal Gear	715 9th Ave NY 10019	https://instagram.com/universalgear		http://www.universalgear.com/		
Mary Meyer and Friends Vintage	56 Bogart St Brooklyn NY 11206	https://instagram.com/marymeyerclothing/		http://www.marymeyerclothing.com/		
Kai D	230 Grand St Brooklyn NY 11211		https://www.pinterest.com/artisanunited/	http://www.kaidutility.com/		
Kimono House	131 Thompson St NY 10012	https://instagram.com/kimonohousenewyork/?ref=badge		http://kimonohouse.blogspot.com/		
Town House Shops	504 LaGuardia Pl NY 10012	https://instagram.com/townhouseshops/		http://townhouseshops.lightspeedwebstore.com/		
Chrome Industries	238 Mulberry St NY 10012	https://instagram.com/chrome_industries/		http://www.chromeindustries.com/		
No 6 	6 Centre Market Pl NY 10013	https://instagram.com/no6_store/		http://no6store.com/		
LF Stores	149 Spring St NY 10012	https://instagram.com/lfstores/		http://lfstores.com/		
Zoe	68 Washington St Brooklyn NY 11201	https://instagram.com/shopzoe/?lang=en	https://www.pinterest.com/shopzoeonline/	http://www.shopzoeonline.com/		
Bombay Bridal	74-08 37th Rd NY 11372	https://instagram.com/bombaybridal/		http://www.bombaybridal.com/index.html		
1 of a Find Vintage	633 Vanderbilt Ave Brooklyn NY 11238	https://instagram.com/1ofafindvintage/		http://www.1ofafindvintage.com/index.php		
Bird	316 5th Ave Brooklyn NY 11215	https://instagram.com/shopbird/		http://www.shopbird.com/		
Clothingline	261 W 36th St 2nd Fl NY 10018	https://instagram.com/clothingline/		http://www.clothingline.com/		
Kaight	382 Atlantic Ave Brooklyn 11217	https://instagram.com/kaightshop/?hl=en		http://kaightshop.com/collections/new-arrivals		
Reiss	313 Bleeker St NY 10014	https://instagram.com/reissfashion		https://www.reiss.com/us/		
Goldy & Mac	219 5th Ave Brooklyn NY 11215	https://instagram.com/GOLDYANDMAC/		http://www.goldyandmac.com/		
Runis Desire	37-19 74th St Queens NY 11372			http://www.runisdesire.com/		
Personnel of New York	9 Greenwich Ave NY 10014	https://instagram.com/personnelofnewyork/		http://personnelofnewyork.com/		
Blue Tree	1283 Madison Ave NY 10128	https://instagram.com/bluetreenyc/		http://www.bluetreenyc.com/		
